Infinitive,Present,Past,Participle,Russian,English
stoßen,stößt,stieß,hat/ist gestoßen,толкать,"to push, knock"
streichen,streicht,strich,hat gestrichen,гладить,"to spread, paint / to cancel, strike off, delete"
streiten,streitet,stritt,hat gestritten,спорить,"to argue, quarrel"
tragen,trägt,trug,hat getragen,носить,"to carry, to wear"
treffen,trifft,traf,hat getroffen,встречать,to meet someone / to hit a target
treiben,treibt,trieb,hat/ist getrieben,гнать,"to drive, drift, do"
treten,tritt,trat,hat/ist getreten,ступать,"to step, kick"
trinken,trinkt,trank,hat getrunken,пить,to drink
trügen,trügt,trog,hat getrogen,обманывать,to deceive
tun,tut,tat,hat getan,делать,to do
verderben,verdirbt,verdarb,hat/ist verdorben,портить,"to spoil, go bad, perish"
verdrießen,verdrießt,verdross,hat verdrossen,"сердить, досаждать","to irk, irritate, annoy"
vergessen,vergisst,vergaß,hat vergessen,забывать,to forget
verlieren,verliert,verlor,hat verloren,терять,to lose
verzeihen,verzeiht,verzieh,hat verziehen,прощать,to forgive
wachsen,wächst,wuchs,ist gewachsen,расти,to grow
wägen,wägt,wog,hat gewogen,взвешивать,to weigh
waschen,wäscht,wusch,hat gewaschen,мыть,to wash
weichen,weicht,wich,ist gewichen,"уклоняться, уворачиваться","to yield, lose ground, soften"
weisen,weist,wies,hat gewiesen,указывать,"to direct, show"
wenden,wendet,wandte = wendete,hat gewandt/gewendet,поворачивать,to turn around
werben,wirbt,warb,hat geworben,рекламировать,to advertise
werden,wird,wurde,ist geworden,становиться,to become
werfen,wirft,warf,hat geworfen,кидать,to throw
wiegen,wiegt,wog,hat gewogen,"качать, весить",to weigh / to cradle
winden,windet,wand,hat gewunden,мотать,to wind (e.g. string)
wissen,weiß,wusste,hat gewusst,знать,to know
wollen,will,wollte,hat gewollt,хотеть,to want
ziehen,zieht,zog,hat/ist gezogen,тащить,to pull
zwingen,zwingt,zwang,hat gezwungen,принуждать,to force
